	Score_Control	miRsControl	DEmiRNAcontrolPercentage	Score_Case	miRsCase	DEmiRNAcasePercentage	TS_Genes	TSgenesPercentage	Module
DE in both: 	4.931	hsa-miR-1-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-20b-5p is not DE	33.33	4.931	hsa-miR-1-3p is DOWN, hsa-miR-17-5p is not DE, hsa-miR-20b-5p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	44.44	['9', 'hsa-miR-17-5p', 'hsa-miR-1-3p', 'hsa-miR-20b-5p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	7.044	hsa-miR-1-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.931	hsa-miR-1-3p is DOWN, hsa-miR-17-5p is not DE, hsa-miR-519d-3p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	44.44	['9', 'hsa-miR-17-5p', 'hsa-miR-1-3p', 'hsa-miR-519d-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	4.363	hsa-miR-1-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-526b-3p is not DE	33.33	4.363	hsa-miR-1-3p is DOWN, hsa-miR-17-5p is not DE, hsa-miR-526b-3p is not DE	33.33	ADAR,CCND1,YWHAZ	37.50	['8', 'hsa-miR-17-5p', 'hsa-miR-1-3p', 'hsa-miR-526b-3p', 'NFAT5', 'YWHAZ', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	3.837	hsa-miR-17-5p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-6739-5p is UP	33.33	3.837	hsa-miR-17-5p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-6739-5p is DOWN	33.33	ACVR1B,CCND1	23.08	['6', 'hsa-miR-17-5p', 'hsa-miR-20b-5p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	6.590	hsa-miR-130a-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.477	hsa-miR-130a-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-519d-3p is not DE	33.33	ARHGAP12,C16orf70,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	21.28	['47', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
DE in both: 	3.522	hsa-miR-17-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-539-5p is not DE	33.33	3.522	hsa-miR-17-5p is not DE, hsa-miR-519d-3p is not DE, hsa-miR-539-5p is UP	33.33	CCDC71L,LDLR	23.36	['9', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'hsa-miR-539-5p', 'ZMYM1', 'PCLAF', 'CCDC71L', 'GLO1', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR', 'SOD2']
DE in both: 	7.013	hsa-miR-17-5p is not DE, hsa-miR-4428 is UP, hsa-miR-519d-3p is DOWN	66.67	4.900	hsa-miR-17-5p is not DE, hsa-miR-4428 is UP, hsa-miR-519d-3p is not DE	33.33	LDLR,MECP2,MIDN	60.00	['5', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'hsa-miR-4428', 'WAC', 'MIDN', 'MAPRE3', 'LDLR', 'MECP2']
DE in both: 	5.950	hsa-miR-17-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-6739-5p is UP	66.67	3.837	hsa-miR-17-5p is not DE, hsa-miR-519d-3p is not DE, hsa-miR-6739-5p is DOWN	33.33	ACVR1B,CCND1	23.08	['6', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	4.113	hsa-miR-17-5p is not DE, hsa-miR-3910 is not DE, hsa-miR-519d-3p is DOWN	33.33	4.113	hsa-miR-17-5p is not DE, hsa-miR-3910 is UP, hsa-miR-519d-3p is not DE	33.33	EFCAB14,MYLIP	46.15	['4', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'hsa-miR-3910', 'EFCAB14', 'ICMT', 'ARHGAP1', 'MYLIP']
DE in both: 	3.971	hsa-miR-17-5p is not DE, hsa-miR-526b-3p is not DE, hsa-miR-6739-5p is UP	33.33	3.971	hsa-miR-17-5p is not DE, hsa-miR-526b-3p is not DE, hsa-miR-6739-5p is DOWN	33.33	ACVR1B,CCND1	23.08	['5', 'hsa-miR-17-5p', 'hsa-miR-526b-3p', 'hsa-miR-6739-5p', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	4.113	hsa-miR-15b-5p is not DE, hsa-miR-16-5p is not DE, hsa-miR-6739-5p is UP	33.33	4.113	hsa-miR-15b-5p is not DE, hsa-miR-16-5p is not DE, hsa-miR-6739-5p is DOWN	33.33	CCND1,GRB2	60.00	['4', 'hsa-miR-16-5p', 'hsa-miR-15b-5p', 'hsa-miR-6739-5p', 'MINK1', 'FURIN', 'GRB2', 'CCND1']
DE in both: 	6.340	hsa-miR-130a-3p is UP, hsa-miR-16-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.227	hsa-miR-130a-3p is UP, hsa-miR-16-5p is not DE, hsa-miR-519d-3p is not DE	33.33	ARHGAP12,HSPA8	36.36	['3', 'hsa-miR-16-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'HSPA8', 'MAP7', 'ARHGAP12']
DE in both: 	4.227	hsa-miR-16-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-6739-5p is UP	33.33	4.227	hsa-miR-16-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-6739-5p is DOWN	33.33	CCND1,GRB2	60.00	['3', 'hsa-miR-16-5p', 'hsa-miR-424-5p', 'hsa-miR-6739-5p', 'FURIN', 'GRB2', 'CCND1']
DE in both: 	4.227	hsa-miR-1-3p is UP, hsa-miR-15b-5p is not DE, hsa-miR-20b-5p is not DE	33.33	4.227	hsa-miR-1-3p is DOWN, hsa-miR-15b-5p is not DE, hsa-miR-20b-5p is not DE	33.33	CCND1,CRK	60.00	['3', 'hsa-miR-15b-5p', 'hsa-miR-1-3p', 'hsa-miR-20b-5p', 'VEGFA', 'CRK', 'CCND1']
DE in both: 	4.227	hsa-miR-15b-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-6739-5p is UP	33.33	4.227	hsa-miR-15b-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-6739-5p is DOWN	33.33	CCND1,GRB2	60.00	['3', 'hsa-miR-15b-5p', 'hsa-miR-424-5p', 'hsa-miR-6739-5p', 'FURIN', 'GRB2', 'CCND1']
DE in both: 	7.044	hsa-miR-1-3p is UP, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.931	hsa-miR-1-3p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	44.44	['9', 'hsa-miR-1-3p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	4.363	hsa-miR-1-3p is UP, hsa-miR-20b-5p is not DE, hsa-miR-526b-3p is not DE	33.33	4.363	hsa-miR-1-3p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-526b-3p is not DE	33.33	ADAR,CCND1,YWHAZ	37.50	['8', 'hsa-miR-1-3p', 'hsa-miR-20b-5p', 'hsa-miR-526b-3p', 'NFAT5', 'YWHAZ', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	6.477	hsa-miR-1-3p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE	66.67	4.363	hsa-miR-1-3p is DOWN, hsa-miR-519d-3p is not DE, hsa-miR-526b-3p is not DE	33.33	ADAR,CCND1,YWHAZ	37.50	['8', 'hsa-miR-1-3p', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'NFAT5', 'YWHAZ', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	5.283	hsa-miR-1-3p is UP, hsa-miR-30d-5p is not DE, hsa-miR-30e-5p is not DE	33.33	5.283	hsa-miR-1-3p is DOWN, hsa-miR-30d-5p is not DE, hsa-miR-30e-5p is not DE	33.33	ARPP19,PICALM,RNF138	100.00	['3', 'hsa-miR-1-3p', 'hsa-miR-30d-5p', 'hsa-miR-30e-5p', 'ARPP19', 'RNF138', 'PICALM']
DE in both: 	6.590	hsa-miR-130a-3p is UP, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.477	hsa-miR-130a-3p is UP, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is not DE	33.33	ARHGAP12,C16orf70,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	21.28	['47', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
DE in both: 	3.522	hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-539-5p is not DE	33.33	3.522	hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is not DE, hsa-miR-539-5p is UP	33.33	CCDC71L,LDLR	23.36	['9', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-539-5p', 'ZMYM1', 'PCLAF', 'CCDC71L', 'GLO1', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR', 'SOD2']
DE in both: 	7.013	hsa-miR-20b-5p is not DE, hsa-miR-4428 is UP, hsa-miR-519d-3p is DOWN	66.67	4.900	hsa-miR-20b-5p is not DE, hsa-miR-4428 is UP, hsa-miR-519d-3p is not DE	33.33	LDLR,MECP2,MIDN	60.00	['5', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-4428', 'WAC', 'MIDN', 'MAPRE3', 'LDLR', 'MECP2']
DE in both: 	5.950	hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-6739-5p is UP	66.67	3.837	hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is not DE, hsa-miR-6739-5p is DOWN	33.33	ACVR1B,CCND1	23.08	['6', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	4.113	hsa-miR-20b-5p is not DE, hsa-miR-3910 is not DE, hsa-miR-519d-3p is DOWN	33.33	4.113	hsa-miR-20b-5p is not DE, hsa-miR-3910 is UP, hsa-miR-519d-3p is not DE	33.33	EFCAB14,MYLIP	46.15	['4', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-3910', 'EFCAB14', 'ICMT', 'ARHGAP1', 'MYLIP']
DE in both: 	3.971	hsa-miR-20b-5p is not DE, hsa-miR-526b-3p is not DE, hsa-miR-6739-5p is UP	33.33	3.971	hsa-miR-20b-5p is not DE, hsa-miR-526b-3p is not DE, hsa-miR-6739-5p is DOWN	33.33	ACVR1B,CCND1	23.08	['5', 'hsa-miR-20b-5p', 'hsa-miR-526b-3p', 'hsa-miR-6739-5p', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	6.340	hsa-miR-130a-3p is UP, hsa-miR-224-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.227	hsa-miR-130a-3p is UP, hsa-miR-224-5p is not DE, hsa-miR-519d-3p is not DE	33.33	QKI,SMAD4	23.08	['3', 'hsa-miR-519d-3p', 'hsa-miR-224-5p', 'hsa-miR-130a-3p', 'QKI', 'TXNIP', 'SMAD4']
DE in both: 	6.579	hsa-miR-130a-3p is UP, hsa-miR-519c-3p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.465	hsa-miR-130a-3p is UP, hsa-miR-519c-3p is not DE, hsa-miR-519d-3p is not DE	33.33	ARHGAP12,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	21.95	['41', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'hsa-miR-519c-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'NIPA1', 'RAN', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
DE in both: 	6.590	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.477	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-519d-3p is not DE	33.33	ARHGAP12,C16orf70,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	21.28	['47', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'hsa-miR-130b-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
DE in both: 	5.727	hsa-miR-130a-3p is UP, hsa-miR-142-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	3.613	hsa-miR-130a-3p is UP, hsa-miR-142-5p is not DE, hsa-miR-519d-3p is not DE	33.33	HSPA8,TGFBR2	21.28	['8', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'hsa-miR-142-5p', 'RPF2', 'LZIC', 'MAPK1', 'ZFYVE26', 'HSPA8', 'CAPRIN2', 'PTPN4', 'TGFBR2']
DE in both: 	6.590	hsa-miR-130a-3p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE	66.67	4.477	hsa-miR-130a-3p is UP, hsa-miR-519d-3p is not DE, hsa-miR-526b-3p is not DE	33.33	ARHGAP12,C16orf70,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	21.28	['47', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'hsa-miR-526b-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
DE in both: 	6.579	hsa-miR-130a-3p is UP, hsa-miR-519b-3p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.465	hsa-miR-130a-3p is UP, hsa-miR-519b-3p is not DE, hsa-miR-519d-3p is not DE	33.33	ARHGAP12,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	21.95	['41', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'hsa-miR-519b-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'NIPA1', 'RAN', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
DE in both: 	3.837	hsa-miR-519c-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-539-5p is not DE	33.33	3.837	hsa-miR-519c-3p is not DE, hsa-miR-519d-3p is not DE, hsa-miR-539-5p is UP	33.33	CCDC71L,LDLR	23.36	['6', 'hsa-miR-519d-3p', 'hsa-miR-519c-3p', 'hsa-miR-539-5p', 'PCLAF', 'CCDC71L', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR']
DE in both: 	6.340	hsa-miR-4428 is UP, hsa-miR-519c-3p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.227	hsa-miR-4428 is UP, hsa-miR-519c-3p is not DE, hsa-miR-519d-3p is not DE	33.33	LDLR,MIDN	23.36	['3', 'hsa-miR-519d-3p', 'hsa-miR-519c-3p', 'hsa-miR-4428', 'MIDN', 'MAPRE3', 'LDLR']
DE in both: 	3.717	hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE, hsa-miR-539-5p is not DE	33.33	3.717	hsa-miR-519d-3p is not DE, hsa-miR-526b-3p is not DE, hsa-miR-539-5p is UP	33.33	CCDC71L,LDLR	21.90	['7', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'hsa-miR-539-5p', 'ZMYM1', 'PCLAF', 'CCDC71L', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR']
DE in both: 	6.227	hsa-miR-4428 is UP, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE	66.67	4.113	hsa-miR-4428 is UP, hsa-miR-519d-3p is not DE, hsa-miR-526b-3p is not DE	33.33	LDLR,MIDN	50.00	['4', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'hsa-miR-4428', 'WAC', 'MIDN', 'MAPRE3', 'LDLR']
DE in both: 	6.084	hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE, hsa-miR-6739-5p is UP	66.67	3.971	hsa-miR-519d-3p is not DE, hsa-miR-526b-3p is not DE, hsa-miR-6739-5p is DOWN	33.33	ACVR1B,CCND1	23.08	['5', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'hsa-miR-6739-5p', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	3.837	hsa-miR-519b-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-539-5p is not DE	33.33	3.837	hsa-miR-519b-3p is not DE, hsa-miR-519d-3p is not DE, hsa-miR-539-5p is UP	33.33	CCDC71L,LDLR	23.08	['6', 'hsa-miR-519d-3p', 'hsa-miR-519b-3p', 'hsa-miR-539-5p', 'PCLAF', 'CCDC71L', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR']
DE in both: 	6.340	hsa-miR-4428 is UP, hsa-miR-519b-3p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.227	hsa-miR-4428 is UP, hsa-miR-519b-3p is not DE, hsa-miR-519d-3p is not DE	33.33	LDLR,MIDN	23.08	['3', 'hsa-miR-519d-3p', 'hsa-miR-519b-3p', 'hsa-miR-4428', 'MIDN', 'MAPRE3', 'LDLR']
DE in both: 	3.155	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-148b-3p is not DE	33.33	5.268	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-148b-3p is UP	66.67	CNOT4,EOGT	20.00	['15', 'hsa-miR-130a-3p', 'hsa-miR-130b-3p', 'hsa-miR-148b-3p', 'EOGT', 'PPP6R1', 'CCNA2', 'GPRC5A', 'SIK1', 'MLEC', 'ZFYVE26', 'CEP55', 'SLC38A2', 'CNOT4', 'SECISBP2L', 'BTBD3', 'STARD13', 'TXNIP', 'DICER1']
DE in both: 	5.727	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-142-3p is UP	66.67	3.613	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-142-3p is not DE	33.33	C16orf70,ZNF529	20.00	['8', 'hsa-miR-130a-3p', 'hsa-miR-130b-3p', 'hsa-miR-142-3p', 'ZNF529', 'MMGT1', 'CBY1', 'WASL', 'CLIC4', 'KIAA1191', 'C16orf70', 'PPP1R15B']
DE in both: 	4.113	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-539-5p is not DE	33.33	6.227	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-539-5p is UP	66.67	LDLR,MSANTD4	21.92	['4', 'hsa-miR-130a-3p', 'hsa-miR-130b-3p', 'hsa-miR-539-5p', 'MSANTD4', 'ENPP5', 'LDLR', 'CLCN3']
DE in both: 	3.042	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-148a-3p is not DE, hsa-miR-148b-3p is not DE	25.00	5.042	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-148a-3p is not DE, hsa-miR-148b-3p is UP	50.00	CNOT4,EOGT	27.27	['15', 'hsa-miR-148a-3p', 'hsa-miR-130a-3p', 'hsa-miR-130b-3p', 'hsa-miR-148b-3p', 'EOGT', 'PPP6R1', 'CCNA2', 'GPRC5A', 'SIK1', 'MLEC', 'ZFYVE26', 'CEP55', 'SLC38A2', 'CNOT4', 'SECISBP2L', 'BTBD3', 'STARD13', 'TXNIP', 'DICER1']
DE in both: 	4.113	hsa-miR-1-3p is UP, hsa-miR-15b-5p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-93-5p is not DE	25.00	4.113	hsa-miR-1-3p is DOWN, hsa-miR-15b-5p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-93-5p is not DE	25.00	CCND1,CRK	33.33	['3', 'hsa-miR-93-5p', 'hsa-miR-15b-5p', 'hsa-miR-1-3p', 'hsa-miR-20b-5p', 'VEGFA', 'CRK', 'CCND1']
DE in both: 	6.000	hsa-miR-15b-5p is not DE, hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-6739-5p is UP	50.00	4.000	hsa-miR-15b-5p is not DE, hsa-miR-16-5p is not DE, hsa-miR-195-5p is not DE, hsa-miR-6739-5p is DOWN	25.00	CCND1,GRB2	21.86	['4', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'hsa-miR-15b-5p', 'hsa-miR-6739-5p', 'MINK1', 'FURIN', 'GRB2', 'CCND1']
DE in both: 	5.887	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN	50.00	3.887	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-16-5p is not DE, hsa-miR-195-5p is not DE	25.00	ARHGAP12,FZD6,RPRD2	27.27	['11', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'hsa-miR-130a-3p', 'hsa-miR-130b-3p', 'PPIG', 'ZMAT3', 'GPRC5A', 'SIK1', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12', 'DICER1']
DE in both: 	5.828	hsa-miR-15b-5p is not DE, hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-6739-5p is UP	40.00	3.971	hsa-miR-15b-5p is not DE, hsa-miR-16-5p is not DE, hsa-miR-195-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-6739-5p is DOWN	20.00	CCND1,GRB2	37.50	['3', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'hsa-miR-15b-5p', 'hsa-miR-424-5p', 'hsa-miR-6739-5p', 'FURIN', 'GRB2', 'CCND1']
DE in both: 	5.708	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-15b-5p is not DE, hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN	40.00	3.851	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-15b-5p is not DE, hsa-miR-16-5p is not DE, hsa-miR-195-5p is not DE	20.00	ARHGAP12,FZD6,RPRD2	30.00	['10', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'hsa-miR-15b-5p', 'hsa-miR-130a-3p', 'hsa-miR-130b-3p', 'PPIG', 'ZMAT3', 'GPRC5A', 'SIK1', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12']
